merges,n_embed,n_heads,n_layers,lr,dropout,weight_decay,scheduler,vocab_size,model_size,val_ppl,train_ppl,val_loss,train_loss,epochs,ckpt_best,ckpt_last,full_config_file,run
800,256,4,4,0.0003,0.2,0.0001,cosine_warmup,1060,3723520,23.20903778076172,22.20899772644043,3.144541848672403,3.1004975296087363,30,../checkpoints/GPT/hparams_search/best_hps_250827_103757_63ee28eb.pt,../checkpoints/GPT/hparams_search/last_hps_250827_103757_63ee28eb.pt,../checkpoints/GPT/hparams_search/hps_250827_103757_63ee28eb_hparams.json,hps_250827_103757_63ee28eb
800,256,8,8,0.0003,0.2,0.0001,cosine_warmup,1060,6871296,23.56290626525879,21.22832679748535,3.159673783585832,3.055336409961892,30,../checkpoints/GPT/hparams_search/best_hps_250827_104535_ef47baa3.pt,../checkpoints/GPT/hparams_search/last_hps_250827_104535_ef47baa3.pt,../checkpoints/GPT/hparams_search/hps_250827_104535_ef47baa3_hparams.json,hps_250827_104535_ef47baa3
800,256,2,2,0.0003,0.2,0.0001,cosine_warmup,1060,2149632,23.815860748291016,23.41547966003418,3.1703516676619246,3.1533973007279292,30,../checkpoints/GPT/hparams_search/best_hps_250827_103113_6e921d6f.pt,../checkpoints/GPT/hparams_search/last_hps_250827_103113_6e921d6f.pt,../checkpoints/GPT/hparams_search/hps_250827_103113_6e921d6f_hparams.json,hps_250827_103113_6e921d6f
800,256,4,2,0.0003,0.2,0.0001,cosine_warmup,1060,2149632,24.218599319458008,23.46452522277832,3.187120850021775,3.1554895805356313,30,../checkpoints/GPT/hparams_search/best_hps_250827_103700_9bc587a4.pt,../checkpoints/GPT/hparams_search/last_hps_250827_103700_9bc587a4.pt,../checkpoints/GPT/hparams_search/hps_250827_103700_9bc587a4_hparams.json,hps_250827_103700_9bc587a4
800,256,8,4,0.0003,0.2,0.0001,cosine_warmup,1060,3723520,24.648109436035156,22.935821533203125,3.2047001916009026,3.1327000699302023,30,../checkpoints/GPT/hparams_search/best_hps_250827_104350_12d06e56.pt,../checkpoints/GPT/hparams_search/last_hps_250827_104350_12d06e56.pt,../checkpoints/GPT/hparams_search/hps_250827_104350_12d06e56_hparams.json,hps_250827_104350_12d06e56
800,256,8,2,0.0003,0.2,0.0001,cosine_warmup,1060,2149632,25.632858276367188,24.326208114624023,3.2438749158704603,3.1915542530539383,30,../checkpoints/GPT/hparams_search/best_hps_250827_104251_1fb9f636.pt,../checkpoints/GPT/hparams_search/last_hps_250827_104251_1fb9f636.pt,../checkpoints/GPT/hparams_search/hps_250827_104251_1fb9f636_hparams.json,hps_250827_104251_1fb9f636
800,128,2,8,0.0003,0.2,0.0001,cosine_warmup,1060,1862784,32.34090042114258,34.210208892822266,3.4763325562348237,3.5325240934582163,30,../checkpoints/GPT/hparams_search/best_hps_250827_102437_05595960.pt,../checkpoints/GPT/hparams_search/last_hps_250827_102437_05595960.pt,../checkpoints/GPT/hparams_search/hps_250827_102437_05595960_hparams.json,hps_250827_102437_05595960
800,128,8,8,0.0003,0.2,0.0001,cosine_warmup,1060,1862784,32.617088317871094,33.712711334228516,3.4849192335798933,3.5178749385328456,30,../checkpoints/GPT/hparams_search/best_hps_250827_102946_b1f06657.pt,../checkpoints/GPT/hparams_search/last_hps_250827_102946_b1f06657.pt,../checkpoints/GPT/hparams_search/hps_250827_102946_b1f06657_hparams.json,hps_250827_102946_b1f06657
800,128,4,8,0.0003,0.2,0.0001,cosine_warmup,1060,1862784,32.787715911865234,34.090789794921875,3.4900539295093433,3.5290272902028104,30,../checkpoints/GPT/hparams_search/best_hps_250827_102707_2eb34802.pt,../checkpoints/GPT/hparams_search/last_hps_250827_102707_2eb34802.pt,../checkpoints/GPT/hparams_search/hps_250827_102707_2eb34802_hparams.json,hps_250827_102707_2eb34802
800,128,2,4,0.0003,0.2,0.0001,cosine_warmup,1060,1075328,33.31830978393555,35.480552673339844,3.5061070828824428,3.5689847024956816,30,../checkpoints/GPT/hparams_search/best_hps_250827_102353_a5e7b0eb.pt,../checkpoints/GPT/hparams_search/last_hps_250827_102353_a5e7b0eb.pt,../checkpoints/GPT/hparams_search/hps_250827_102353_a5e7b0eb_hparams.json,hps_250827_102353_a5e7b0eb
800,128,4,4,0.0003,0.2,0.0001,cosine_warmup,1060,1075328,33.56675720214844,35.2158317565918,3.5135361542572845,3.561495897622875,30,../checkpoints/GPT/hparams_search/best_hps_250827_102621_5bd13af0.pt,../checkpoints/GPT/hparams_search/last_hps_250827_102621_5bd13af0.pt,../checkpoints/GPT/hparams_search/hps_250827_102621_5bd13af0_hparams.json,hps_250827_102621_5bd13af0
800,128,8,4,0.0003,0.2,0.0001,cosine_warmup,1060,1075328,33.89192199707031,35.166053771972656,3.5231766571869723,3.5600811347922856,30,../checkpoints/GPT/hparams_search/best_hps_250827_102857_2f563c0d.pt,../checkpoints/GPT/hparams_search/last_hps_250827_102857_2f563c0d.pt,../checkpoints/GPT/hparams_search/hps_250827_102857_2f563c0d_hparams.json,hps_250827_102857_2f563c0d
800,128,4,2,0.0003,0.2,0.0001,cosine_warmup,1060,681600,33.94356155395508,35.993770599365234,3.5246991131756755,3.583345951277036,30,../checkpoints/GPT/hparams_search/best_hps_250827_102552_5b3f1cd9.pt,../checkpoints/GPT/hparams_search/last_hps_250827_102552_5b3f1cd9.pt,../checkpoints/GPT/hparams_search/hps_250827_102552_5b3f1cd9_hparams.json,hps_250827_102552_5b3f1cd9
800,128,8,2,0.0003,0.2,0.0001,cosine_warmup,1060,681600,34.0074348449707,35.84633255004883,3.52663949502481,3.5792411570200264,30,../checkpoints/GPT/hparams_search/best_hps_250827_102826_8c8a4bf5.pt,../checkpoints/GPT/hparams_search/last_hps_250827_102826_8c8a4bf5.pt,../checkpoints/GPT/hparams_search/hps_250827_102826_8c8a4bf5_hparams.json,hps_250827_102826_8c8a4bf5
800,128,2,2,0.0003,0.2,0.0001,cosine_warmup,1060,681600,34.44037628173828,36.62891387939453,3.540049867372255,3.600837836090386,30,../checkpoints/GPT/hparams_search/best_hps_250827_102325_715b82e7.pt,../checkpoints/GPT/hparams_search/last_hps_250827_102325_715b82e7.pt,../checkpoints/GPT/hparams_search/hps_250827_102325_715b82e7_hparams.json,hps_250827_102325_715b82e7
200,32,8,8,0.0003,0.2,0.0001,cosine_warmup,460,132384,34.78091049194336,37.63221740722656,3.5490686356393915,3.6278605496219027,30,../checkpoints/GPT/hparams_search/best_hps_250827_094011_5b028823.pt,../checkpoints/GPT/hparams_search/last_hps_250827_094011_5b028823.pt,../checkpoints/GPT/hparams_search/hps_250827_094011_5b028823_hparams.json,hps_250827_094011_5b028823
200,32,4,8,0.0003,0.2,0.0001,cosine_warmup,460,132384,35.14839172363281,37.92524719238281,3.559578777112459,3.6356171328186613,30,../checkpoints/GPT/hparams_search/best_hps_250827_093801_ea94a0bf.pt,../checkpoints/GPT/hparams_search/last_hps_250827_093801_ea94a0bf.pt,../checkpoints/GPT/hparams_search/hps_250827_093801_ea94a0bf_hparams.json,hps_250827_093801_ea94a0bf
200,32,4,4,0.0003,0.2,0.0001,cosine_warmup,460,82976,35.185359954833984,37.618186950683594,3.560630107678865,3.6274876760007455,30,../checkpoints/GPT/hparams_search/best_hps_250827_093721_66697efc.pt,../checkpoints/GPT/hparams_search/last_hps_250827_093721_66697efc.pt,../checkpoints/GPT/hparams_search/hps_250827_093721_66697efc_hparams.json,hps_250827_093721_66697efc
200,32,8,4,0.0003,0.2,0.0001,cosine_warmup,460,82976,35.21413803100586,37.660831451416016,3.5614476575349507,3.6286206130098972,30,../checkpoints/GPT/hparams_search/best_hps_250827_093930_cb1b38e4.pt,../checkpoints/GPT/hparams_search/last_hps_250827_093930_cb1b38e4.pt,../checkpoints/GPT/hparams_search/hps_250827_093930_cb1b38e4_hparams.json,hps_250827_093930_cb1b38e4
200,32,8,2,0.0003,0.2,0.0001,cosine_warmup,460,58272,35.226078033447266,37.5101432800293,3.56178661145662,3.6246113701949736,30,../checkpoints/GPT/hparams_search/best_hps_250827_093902_945e277f.pt,../checkpoints/GPT/hparams_search/last_hps_250827_093902_945e277f.pt,../checkpoints/GPT/hparams_search/hps_250827_093902_945e277f_hparams.json,hps_250827_093902_945e277f
200,32,2,4,0.0003,0.2,0.0001,cosine_warmup,460,82976,35.353336334228516,37.71296310424805,3.5653926809210525,3.6300040103659645,30,../checkpoints/GPT/hparams_search/best_hps_250827_093511_5707e747.pt,../checkpoints/GPT/hparams_search/last_hps_250827_093511_5707e747.pt,../checkpoints/GPT/hparams_search/hps_250827_093511_5707e747_hparams.json,hps_250827_093511_5707e747
200,32,2,8,0.0003,0.2,0.0001,cosine_warmup,460,132384,35.368282318115234,38.21036148071289,3.5658155260587994,3.6431065849199906,30,../checkpoints/GPT/hparams_search/best_hps_250827_093551_5d13da2d.pt,../checkpoints/GPT/hparams_search/last_hps_250827_093551_5d13da2d.pt,../checkpoints/GPT/hparams_search/hps_250827_093551_5d13da2d_hparams.json,hps_250827_093551_5d13da2d
200,32,2,2,0.0003,0.2,0.0001,cosine_warmup,460,58272,35.393733978271484,37.676979064941406,3.5665346968801397,3.629049347276818,30,../checkpoints/GPT/hparams_search/best_hps_250827_093443_f3d28b2f.pt,../checkpoints/GPT/hparams_search/last_hps_250827_093443_f3d28b2f.pt,../checkpoints/GPT/hparams_search/hps_250827_093443_f3d28b2f_hparams.json,hps_250827_093443_f3d28b2f
200,32,4,2,0.0003,0.2,0.0001,cosine_warmup,460,58272,35.4005012512207,37.624717712402344,3.5667260420949836,3.6276613430019182,30,../checkpoints/GPT/hparams_search/best_hps_250827_093652_30471f68.pt,../checkpoints/GPT/hparams_search/last_hps_250827_093652_30471f68.pt,../checkpoints/GPT/hparams_search/hps_250827_093652_30471f68_hparams.json,hps_250827_093652_30471f68
200,16,4,2,0.0003,0.2,0.0001,cosine_warmup,460,22992,46.887210845947266,49.983123779296875,3.8477448473478617,3.911685480304321,30,../checkpoints/GPT/hparams_search/best_hps_250827_093016_f1000c17.pt,../checkpoints/GPT/hparams_search/last_hps_250827_093016_f1000c17.pt,../checkpoints/GPT/hparams_search/hps_250827_093016_f1000c17_hparams.json,hps_250827_093016_f1000c17
200,16,8,2,0.0003,0.2,0.0001,cosine_warmup,460,22992,47.09280014038086,50.18000793457031,3.852120200709293,3.915616668235867,30,../checkpoints/GPT/hparams_search/best_hps_250827_093229_9b69b85e.pt,../checkpoints/GPT/hparams_search/last_hps_250827_093229_9b69b85e.pt,../checkpoints/GPT/hparams_search/hps_250827_093229_9b69b85e_hparams.json,hps_250827_093229_9b69b85e
200,16,2,2,0.0003,0.2,0.0001,cosine_warmup,460,22992,47.51288986206055,50.690975189208984,3.8610010889956827,3.9257478503398713,30,../checkpoints/GPT/hparams_search/best_hps_250827_092650_e081b7ea.pt,../checkpoints/GPT/hparams_search/last_hps_250827_092650_e081b7ea.pt,../checkpoints/GPT/hparams_search/hps_250827_092650_e081b7ea_hparams.json,hps_250827_092650_e081b7ea
200,16,4,4,0.0003,0.2,0.0001,cosine_warmup,460,29200,48.984718322753906,51.6800537109375,3.8915083714535363,3.945071903312996,30,../checkpoints/GPT/hparams_search/best_hps_250827_093049_a7838bb7.pt,../checkpoints/GPT/hparams_search/last_hps_250827_093049_a7838bb7.pt,../checkpoints/GPT/hparams_search/hps_250827_093049_a7838bb7_hparams.json,hps_250827_093049_a7838bb7
200,16,2,4,0.0003,0.2,0.0001,cosine_warmup,460,29200,49.02622985839844,51.77832794189453,3.892355394865337,3.9469716165344044,30,../checkpoints/GPT/hparams_search/best_hps_250827_092810_83748428.pt,../checkpoints/GPT/hparams_search/last_hps_250827_092810_83748428.pt,../checkpoints/GPT/hparams_search/hps_250827_092810_83748428_hparams.json,hps_250827_092810_83748428
